age,department,job_level,monthly_income,years_at_company,work_life_balance,job_involvement,satisfaction_class
43,Engineering,1,3802,24,2,3,0
50,HR,4,5582,23,3,1,0
27,Sales,1,9445,12,1,3,0
43,HR,4,6837,23,2,2,0
44,Marketing,2,11718,21,4,2,1
56,Sales,3,4665,26,2,1,0
31,Finance,5,11651,8,3,3,1
57,Marketing,5,9975,2,2,4,1
42,Engineering,2,5552,2,2,1,0
25,Engineering,1,10475,5,2,4,1
35,Engineering,3,5808,1,2,2,0
52,Marketing,4,8633,22,4,2,1
49,Marketing,2,9096,4,2,3,1
47,Marketing,3,11823,6,3,4,1
55,Sales,3,5456,23,2,4,1
54,Sales,4,8423,13,2,1,0
59,Engineering,3,7317,19,4,3,1
31,HR,1,4556,11,4,3,1
40,Engineering,1,5205,13,2,4,1
50,Finance,1,6955,8,4,2,1
26,Sales,3,9805,7,4,3,1
25,Marketing,1,3404,13,2,2,0
36,Sales,4,4620,1,4,1,1
29,Marketing,3,5952,6,1,3,0
56,Finance,5,11080,7,1,3,0
33,Finance,3,6118,16,1,1,0
59,Sales,4,10380,27,4,3,1
43,Marketing,5,9630,15,1,4,1
40,Finance,3,3565,20,3,4,1
27,Engineering,1,7799,2,1,1,0
44,Engineering,2,10670,26,3,2,1
48,Marketing,2,5868,25,4,2,1
57,Sales,1,11776,23,1,3,0
48,Finance,2,7327,16,3,2,0
35,Sales,2,9413,17,4,2,1
32,Engineering,1,10614,24,1,1,0
44,Finance,1,4245,15,2,2,0
59,Sales,3,11243,3,1,2,0
49,HR,3,3537,4,1,2,0
59,Marketing,1,3540,12,1,4,0
49,Marketing,4,3814,5,2,4,1
53,HR,2,4415,17,3,1,0
42,Engineering,3,4652,6,3,3,1
42,Finance,2,7062,10,2,1,0
26,Marketing,5,5356,22,1,3,0
59,HR,1,6810,18,1,3,0
40,HR,4,3185,27,1,2,0
57,Engineering,5,4551,10,3,2,0
28,Engineering,5,10013,6,3,1,0
57,Sales,5,3761,24,2,1,0
38,Marketing,1,9163,6,4,1,1
45,Sales,3,10635,20,2,4,1
44,HR,1,6281,15,3,4,1
32,Finance,3,4536,4,1,4,0
31,Finance,5,9201,25,1,4,1
27,Engineering,5,6164,16,1,4,1
41,Finance,4,5770,22,1,2,0
57,Finance,3,10399,24,4,3,1
36,Finance,5,6845,8,2,4,1
46,HR,2,6435,7,2,1,0
46,Finance,4,7710,19,3,3,1
54,Finance,1,3561,26,2,4,1
32,Finance,4,7717,17,4,4,1
51,Sales,2,10623,21,4,2,1
51,HR,3,10187,13,4,2,1
58,Engineering,1,5180,15,1,2,0
45,Sales,1,4960,26,3,4,1
54,Marketing,3,6879,26,4,2,1
57,HR,4,8153,2,2,4,1
52,HR,5,10035,28,2,3,1
57,Marketing,4,6270,10,2,3,1
29,Marketing,2,7687,13,4,4,1
43,Marketing,5,3582,18,4,1,0
28,Engineering,4,3288,23,2,4,1
59,Finance,3,8664,11,4,3,1
41,HR,2,10979,13,2,3,1
52,Finance,2,6859,19,1,4,0
54,Finance,2,6060,29,4,4,1
53,Marketing,5,4183,24,1,4,0
30,Engineering,1,7335,25,1,3,0
59,Sales,5,4446,29,4,1,0
48,Engineering,4,9679,24,2,4,1
53,Finance,1,9213,22,3,3,1
55,Engineering,4,4903,5,1,4,0
59,Marketing,1,10894,3,4,3,1
57,Sales,5,5377,19,1,4,0
45,Marketing,2,3847,23,2,3,0
56,Sales,3,10370,13,4,4,1
47,Finance,2,9341,5,3,2,1
57,Sales,5,4239,12,4,4,1
27,Sales,1,8600,14,1,3,0
42,Sales,2,7791,6,4,4,1
49,Engineering,5,5365,22,4,1,0
55,Engineering,4,8055,9,1,4,1
27,Finance,3,8622,17,3,4,1
48,Sales,2,3372,8,2,4,1
56,HR,1,10783,26,4,1,0
46,Finance,4,4949,13,3,1,0
47,Sales,5,3244,29,2,1,0
26,Sales,3,10795,5,1,2,0
51,Engineering,1,8772,29,3,1,0
26,Finance,5,3124,22,3,2,0
50,Sales,5,4919,22,4,4,1
41,Sales,2,3530,17,1,2,0
57,Finance,2,10849,3,4,4,1
33,HR,1,9929,28,1,2,0
53,Finance,5,7349,6,2,1,0
50,Finance,2,7756,14,4,1,0
59,HR,3,4801,15,1,2,0
49,Finance,3,8156,14,1,2,0
48,Sales,5,10856,11,3,1,0
37,Finance,2,8461,11,4,4,1
31,HR,1,8302,9,4,4,1
44,Marketing,1,10432,6,2,4,1
25,Finance,1,9189,15,1,4,0
32,Engineering,3,4142,12,3,3,1
40,Sales,2,10076,29,1,4,0
38,Sales,2,10614,6,1,3,0
36,Engineering,3,7840,1,1,3,0
47,Engineering,1,4629,25,4,1,0
39,Finance,1,8062,16,1,1,0
52,Engineering,5,3762,20,2,2,0
58,Marketing,4,9905,15,3,4,1
26,HR,2,7889,2,3,4,1
56,Engineering,2,7839,17,1,1,0
47,Engineering,2,6957,3,3,1,0
46,Marketing,4,3557,3,1,1,0
49,Sales,5,7621,5,4,2,1
46,Sales,4,3839,17,3,4,1
46,Finance,1,11194,23,4,2,1
30,Marketing,1,11348,29,4,3,1
39,HR,2,9998,17,2,3,1
57,HR,3,3510,20,2,4,1
32,Marketing,2,4137,6,3,1,0
29,HR,3,8606,1,1,1,0
28,Sales,4,7666,7,1,2,0
30,HR,1,11906,26,1,3,0
56,HR,3,8434,15,1,3,0
54,Marketing,4,9446,7,2,4,1
59,Marketing,1,5654,19,1,3,0
40,HR,3,3990,20,1,1,0
37,Engineering,2,10820,22,4,1,1
54,Marketing,2,5160,11,1,1,0
43,Finance,2,8740,23,1,4,0
41,Finance,4,7457,14,2,2,0
43,Sales,2,5063,13,3,3,1
52,HR,5,4977,20,4,4,1
50,Engineering,1,11567,26,4,2,1
50,Sales,4,11933,27,3,4,1
47,HR,2,5667,25,4,3,1
33,Marketing,1,7919,9,1,1,0
36,Finance,3,11609,9,1,2,0
25,Engineering,2,10642,16,3,2,1
25,Finance,1,11798,12,2,4,1
58,Marketing,5,11759,10,2,4,1
56,HR,3,3543,6,4,1,0
49,Marketing,5,3883,18,2,4,1
25,Marketing,1,7798,2,2,3,1
40,Finance,5,11040,27,2,3,1
29,Engineering,1,8718,20,2,3,0
46,Marketing,1,5068,9,2,3,0
53,Finance,5,10478,19,2,1,0
27,Engineering,1,11120,6,2,1,0
36,HR,2,10820,2,4,1,1
50,HR,1,4786,15,1,4,0
40,Sales,4,8715,17,2,1,0
46,Finance,1,11269,16,1,2,0
53,Engineering,4,4308,28,3,2,0
38,Marketing,1,11839,21,1,2,0
52,HR,1,11744,8,3,4,1
29,Engineering,5,11473,10,4,4,1
54,Finance,2,7861,10,1,1,0
29,Sales,2,5776,18,3,3,1
36,HR,3,4596,10,1,2,0
40,Engineering,5,3479,9,4,4,1
50,Engineering,5,6312,28,1,2,0
50,Engineering,2,9156,24,3,1,0
45,Finance,5,10919,19,2,4,1
57,Finance,2,9744,1,2,3,1
54,Finance,5,6898,4,2,3,1
47,Marketing,1,5072,24,4,4,1
34,Engineering,2,8624,3,2,3,1
29,HR,2,3938,10,4,1,0
58,Finance,4,11176,12,2,3,1
55,Finance,5,3761,18,4,2,1
34,Engineering,5,10254,23,4,2,1
43,Finance,2,4669,20,1,2,0
56,Marketing,1,10128,6,2,4,1
25,Marketing,1,6862,21,1,4,0
29,Finance,1,5685,2,3,4,1
28,Engineering,5,9634,10,2,4,1
40,Engineering,4,4931,2,2,4,1
48,Engineering,2,10308,9,2,1,0
40,Sales,3,6939,27,2,4,1
26,Finance,4,4126,10,1,3,0
52,Engineering,3,9021,2,1,1,0
56,Marketing,4,9437,8,4,4,1
51,HR,1,10039,24,1,3,0
44,HR,5,8373,17,4,1,1
48,Engineering,3,4203,17,3,2,0
36,HR,4,7135,29,1,1,0
59,HR,5,11711,4,4,4,1
57,Sales,3,10904,18,2,1,0
57,Marketing,2,5283,12,3,1,0
36,Marketing,4,7558,17,4,2,1
27,Sales,2,8347,9,3,1,0
25,Sales,1,10867,29,2,1,0
57,HR,2,8944,19,2,2,0
34,Finance,2,11674,14,4,4,1
53,HR,4,5477,14,4,3,1
37,Sales,1,6093,17,2,1,0
36,Marketing,2,11534,2,4,2,1
55,HR,5,10207,8,2,1,0
26,Finance,3,9227,5,1,4,1
59,HR,2,6535,27,4,4,1
47,Engineering,1,10004,7,3,2,1
41,HR,2,5913,22,2,3,0
50,Sales,3,5340,29,1,3,0
32,Marketing,1,8289,16,4,1,0
53,Marketing,4,3597,16,2,2,0
50,Sales,1,11836,17,1,3,0
34,Engineering,4,10145,22,4,4,1
50,Sales,1,5902,27,2,3,0
58,HR,3,9645,7,2,2,0
31,Sales,3,11955,20,2,4,1
28,Sales,1,10694,8,4,1,1
35,Engineering,2,7830,8,1,4,1
53,HR,3,10546,23,2,3,1
49,Finance,4,10368,11,1,3,0
45,Finance,4,5160,15,1,3,0
34,Marketing,5,8878,18,3,1,0
33,Sales,4,10663,6,1,3,0
48,Marketing,5,6749,22,1,2,0
59,Engineering,1,5922,12,1,1,0
59,Finance,1,9486,15,1,4,0
42,Sales,1,11112,28,1,3,0
56,Engineering,2,11771,23,4,2,1
48,Engineering,2,6804,6,3,2,0
47,Sales,5,7878,18,2,1,0
56,Engineering,4,5368,24,3,2,0
36,Sales,4,11093,20,3,1,0
37,Sales,1,6932,9,2,1,0
47,HR,3,8608,8,1,1,0
49,Marketing,2,9635,14,2,4,1
59,Engineering,2,9395,19,1,4,1
54,Engineering,1,9101,19,2,2,0
41,HR,2,8531,8,4,4,1
44,HR,1,7970,2,3,1,0
49,HR,5,9344,25,1,1,0
46,Finance,4,11408,4,3,4,1
37,Finance,3,3375,6,1,2,0
43,Finance,4,10887,3,2,1,0
36,Sales,4,4609,3,2,4,1
43,Engineering,5,5939,19,2,3,0
36,Marketing,2,7062,11,4,2,1
33,Sales,3,4613,29,2,2,0
31,Engineering,2,9578,10,2,2,0
52,Engineering,4,10851,12,4,3,1
38,HR,1,6679,14,3,1,0
55,HR,4,10540,28,3,2,1
43,Sales,2,10074,18,1,4,1
40,HR,4,6996,24,3,2,0
29,Engineering,1,7786,9,1,4,0
59,HR,5,8695,15,1,2,0
36,Finance,2,9998,24,3,4,1
49,HR,4,5366,26,3,4,1
45,Engineering,2,9764,3,4,4,1
47,Sales,5,11976,23,1,3,0
40,Marketing,4,4614,11,3,3,1
38,HR,4,7555,10,3,3,1
55,Engineering,2,5416,18,4,1,0
29,Marketing,2,10288,4,3,4,1
59,Marketing,1,9862,28,2,1,0
47,Finance,5,6653,13,2,3,1
53,Marketing,1,9639,29,1,4,0
35,Engineering,4,3496,6,4,1,0
42,Engineering,2,3504,27,3,3,1
36,HR,4,10699,21,1,1,0
33,HR,4,8733,13,3,1,0
34,HR,3,11055,25,2,3,1
41,Marketing,3,6216,26,3,4,1
31,Marketing,4,8688,20,3,2,1
37,Finance,2,7364,5,3,2,1
33,HR,4,9042,20,2,1,0
51,Sales,3,4477,14,2,1,0
26,Finance,2,7960,13,4,1,0
29,Sales,4,5397,14,2,4,1
53,Marketing,5,11301,8,1,1,0
43,Finance,5,11841,16,3,1,0
32,Finance,4,9194,13,2,1,0
25,Engineering,2,10570,24,1,3,0
46,Marketing,4,10730,15,2,2,0
41,Marketing,4,4499,19,3,2,0
31,Finance,3,10235,1,1,3,0
49,Marketing,5,3595,22,2,4,1
28,Finance,3,3978,2,2,4,1
30,Engineering,3,3730,18,1,4,0
55,Finance,4,3056,19,4,3,1
43,Marketing,3,5243,8,1,2,0
51,Marketing,5,8879,3,1,2,0
34,Finance,3,4701,23,1,1,0
50,Finance,5,10229,26,1,2,0
43,Finance,3,4286,14,2,4,1
27,HR,5,11303,26,1,4,1
37,Marketing,3,3947,9,1,1,0
52,Marketing,3,7121,29,3,1,0
44,HR,2,9553,8,2,2,0
52,Finance,5,3757,17,3,1,0
32,Engineering,5,8651,23,2,1,0
25,Finance,5,10273,23,4,3,1
27,Finance,1,6535,24,4,2,1
37,HR,3,5293,16,2,4,1
52,Marketing,5,4104,10,4,3,1
49,Finance,1,11853,21,4,4,1
57,Marketing,2,3908,10,2,1,0
30,Sales,5,9539,25,1,1,0
56,Marketing,5,7617,25,3,4,1
45,Engineering,1,10069,24,2,3,0
40,Engineering,3,5311,6,2,3,0
45,Finance,2,3789,22,2,3,0
35,Marketing,5,3171,17,3,1,0
59,Finance,3,10989,29,2,2,0
43,HR,2,4885,16,3,1,0
44,Engineering,4,11667,15,3,4,1
42,Finance,4,4049,22,4,3,1
38,HR,2,7129,14,1,2,0
39,Finance,1,4161,4,4,3,1
55,Marketing,2,3815,4,2,1,0
25,Marketing,2,6766,2,2,2,0
27,Marketing,1,11945,29,3,2,0
40,Marketing,1,7661,11,4,1,0
47,Sales,3,11653,4,3,3,1
35,HR,3,6239,21,4,3,1
36,HR,1,11272,29,4,3,1
34,Marketing,4,5804,28,4,1,0
56,Sales,4,11031,21,4,4,1
40,Marketing,2,3869,16,4,4,1
32,Sales,5,8526,21,1,3,0
36,Marketing,2,10741,4,2,2,0
48,Engineering,2,7694,1,4,4,1
52,Engineering,5,11998,26,4,3,1
32,Finance,1,4934,24,3,4,1
52,Marketing,4,8172,19,2,3,1
50,HR,2,3703,2,2,4,1
32,Finance,5,5523,9,2,4,1
52,Engineering,3,5639,23,4,2,1
52,Marketing,2,9159,25,3,2,0
51,Finance,4,6909,13,2,4,1
41,Marketing,1,4164,18,3,3,1
33,Engineering,2,3619,16,1,2,0
57,Finance,2,10982,16,1,1,0
44,Engineering,5,6066,25,3,2,0
37,Sales,3,7872,10,4,4,1
52,Engineering,3,11638,9,2,4,1
53,Marketing,1,5337,11,1,1,0
37,HR,4,11400,25,1,2,0
59,Engineering,1,8594,26,3,4,1
30,HR,2,5460,29,4,1,0
42,Sales,2,9820,26,3,1,0
29,Finance,3,8546,4,3,3,1
49,Finance,4,6442,10,3,2,1
26,HR,5,5711,3,3,2,1
34,Finance,4,4291,6,3,2,0
54,Engineering,2,8374,3,4,4,1
29,HR,5,5655,27,3,1,0
57,Marketing,4,9513,9,4,3,1
25,Engineering,4,10394,3,2,2,0
42,Engineering,5,3704,18,2,3,0
56,Engineering,2,3825,8,2,3,0
35,Marketing,4,3376,22,2,1,0
45,Sales,5,3972,8,1,2,0
50,Finance,2,7213,15,4,3,1
49,HR,5,3443,13,2,2,0
46,Sales,5,10519,7,1,2,0
51,HR,4,3754,19,4,2,1
37,Finance,2,7735,8,1,3,0
57,Marketing,4,8396,10,1,1,0
58,Engineering,1,6465,17,3,1,0
59,Engineering,1,5711,1,1,3,0
25,Marketing,2,5407,13,1,4,0
45,Sales,5,11814,29,4,2,1
30,Sales,4,8588,26,1,2,0
52,HR,4,9104,13,3,1,0
41,Marketing,2,8747,24,2,3,0
29,Sales,2,4723,16,2,3,0
55,Marketing,1,10224,29,4,4,1
29,Finance,3,4919,9,4,4,1
27,Engineering,2,3918,10,1,1,0
47,Engineering,3,7215,6,4,4,1
34,Engineering,2,3581,5,1,4,0
34,Marketing,5,6881,2,4,3,1
43,Marketing,5,6909,11,2,3,1
41,HR,1,4999,9,2,4,1
45,Engineering,1,3400,6,2,1,0
38,HR,3,6648,8,2,4,1
33,Engineering,2,8445,9,1,1,0
25,HR,4,5628,9,1,4,0
37,HR,1,4656,8,1,3,0
28,Finance,4,3620,12,2,3,0
25,HR,4,3246,26,3,1,0
56,Marketing,2,8212,8,2,4,1
58,HR,3,6339,3,2,4,1
52,Engineering,2,9758,13,3,1,0
55,HR,1,10086,19,3,4,1
32,Sales,4,6010,2,4,2,1
50,Engineering,2,7719,17,2,3,0
58,Sales,2,5368,16,3,3,1
27,Engineering,2,4839,4,4,1,0
36,Marketing,1,5903,18,3,4,1
25,Marketing,3,9205,14,3,1,0
29,Marketing,2,7395,2,4,2,1
54,Sales,1,8767,13,2,4,1
54,Finance,4,6691,27,4,2,1
41,Engineering,5,10470,27,2,1,0
47,Marketing,1,6841,21,3,3,1
39,Engineering,5,7348,20,4,2,1
45,Sales,2,9621,17,1,4,1
38,Finance,2,4392,15,3,1,0
26,Sales,1,9060,25,4,1,0
35,Engineering,5,7255,20,3,1,0
58,Finance,2,7300,5,4,3,1
58,Finance,4,6338,7,2,1,0
42,Sales,3,8487,18,1,1,0
54,Marketing,3,6514,24,3,3,1
39,Engineering,2,3759,11,1,1,0
51,HR,5,11621,18,2,1,0
58,HR,2,9793,27,4,2,1
57,Sales,5,5459,26,1,1,0
48,Engineering,4,8273,5,4,3,1
39,Engineering,5,4718,13,2,2,0
54,Sales,2,8423,28,3,1,0
41,Engineering,4,4308,18,2,3,0
29,Marketing,1,4050,2,1,4,0
53,Sales,3,8479,20,1,1,0
28,Marketing,2,5249,4,1,4,0
34,Engineering,2,5809,13,4,2,1
41,Sales,2,5921,24,3,3,1
34,Engineering,4,7676,29,1,2,0
41,Sales,1,7041,16,1,4,0
44,Engineering,5,5417,6,1,4,1
48,Marketing,1,3532,26,2,4,1
29,Marketing,4,11167,8,1,3,0
58,Engineering,2,4469,16,2,4,1
30,Sales,3,10292,13,1,4,1
26,HR,2,11961,23,2,3,1
37,Marketing,5,10142,29,4,4,1
35,Marketing,3,9000,26,4,1,0
47,HR,2,10081,4,2,4,1
40,Engineering,3,7649,2,3,3,1
55,Sales,1,9931,9,3,4,1
35,Engineering,4,6424,18,2,3,0
40,Finance,2,4091,17,4,4,1
32,Marketing,5,10849,8,2,1,0
28,Finance,1,7654,26,3,3,1
28,Marketing,2,3260,15,2,3,0
49,Marketing,1,8936,9,4,3,1
27,Finance,5,7370,17,3,3,1
56,Finance,2,7301,23,3,4,1
27,Engineering,5,10207,2,1,4,1
51,Finance,3,8819,6,1,1,0
53,Engineering,5,3092,29,3,1,0
56,Engineering,3,8161,27,3,4,1
43,Engineering,2,10632,5,2,2,0
45,Marketing,3,9208,17,4,3,1
29,Marketing,2,11556,2,3,4,1
42,Finance,2,7916,18,4,1,0
52,Marketing,4,6718,10,3,3,1
46,Finance,2,9125,10,4,1,1
45,Marketing,3,4924,6,1,2,0
30,Sales,4,6095,27,3,3,1
25,Sales,4,9683,12,2,2,0
29,Finance,2,8181,17,4,2,1
36,Marketing,5,5538,27,3,2,0
50,Marketing,5,5276,13,1,4,0
58,Engineering,4,11194,20,1,1,0
38,HR,2,3910,28,1,3,0
50,Finance,5,3306,16,1,4,0
51,HR,2,9575,10,3,1,0
33,HR,2,7231,27,2,4,1
50,Finance,4,9028,21,4,1,1
46,Marketing,4,9658,2,2,3,1
54,Finance,1,9336,2,4,3,1
41,HR,5,3872,23,2,3,0
50,Marketing,5,4141,7,3,3,1
25,Sales,5,3665,6,3,1,0
32,Finance,3,11400,1,4,4,1
59,Finance,2,3951,12,3,3,1
39,Marketing,4,7722,13,4,3,1
46,Sales,5,7008,12,2,3,1
38,Sales,1,9655,19,3,2,0
50,Marketing,5,9190,9,3,3,1
52,Engineering,2,3771,10,4,3,1
47,Finance,2,7030,17,4,1,0
38,Finance,4,10859,18,4,2,1
48,HR,3,3521,8,4,1,0
26,Marketing,4,6355,7,1,4,1
50,HR,5,4400,9,4,2,1
38,HR,1,6723,10,1,1,0
31,Sales,4,9579,12,2,1,0
27,Finance,3,6247,15,4,4,1
47,HR,4,4858,15,1,4,0
42,Sales,2,7781,28,1,3,0
59,Marketing,5,7064,4,1,3,0
39,HR,5,5398,4,3,2,1
49,Finance,5,3142,23,1,2,0
52,HR,5,8062,1,4,4,1
34,Marketing,5,6469,26,4,2,1
41,HR,5,6695,12,4,3,1
46,Finance,1,3717,25,1,4,0
50,Sales,3,3642,2,1,1,0
49,Finance,5,5548,15,3,4,1
41,Sales,3,11561,17,2,2,0
37,Engineering,5,6650,7,3,3,1
44,Finance,4,10549,6,4,3,1
49,Finance,5,11978,12,4,1,1
28,Marketing,2,3949,19,4,1,0
34,HR,1,8444,1,3,4,1
27,Sales,4,3521,28,4,3,1
42,Sales,4,9632,21,4,1,1
46,Marketing,2,9048,26,4,1,0
58,Marketing,5,3354,14,1,4,0
32,HR,1,4482,4,2,4,1
43,HR,4,9994,5,1,3,0
30,Finance,1,5215,1,1,2,0
50,Engineering,4,7716,1,2,2,0
58,HR,5,11619,21,2,3,1
30,Marketing,4,8821,6,3,2,1
57,HR,4,5537,5,2,3,1
46,Sales,3,9339,2,3,3,1
45,Engineering,5,11736,25,3,1,0
30,Finance,2,7919,21,1,2,0
30,Sales,2,10075,27,4,3,1
28,Sales,5,6765,27,1,2,0
54,Engineering,2,11850,5,1,2,0
35,Finance,5,10082,26,2,4,1
54,Marketing,2,5827,9,2,2,0
55,Finance,3,5058,19,3,3,1
48,HR,2,10749,21,3,1,0
33,Sales,4,3730,15,3,2,0
27,HR,5,4832,13,2,3,0
55,Marketing,1,11600,12,3,4,1
48,HR,1,9505,5,3,2,1
55,Finance,5,10170,2,2,1,0
30,HR,3,7179,27,4,2,1
26,Marketing,2,9299,4,1,3,0
44,Marketing,3,10830,27,2,2,0
