Customer ID,Loan Amount,Annual Income,Credit Score,Employment Status,Marital Status,Loan Term (months),Number of Dependents,Previous Defaults,Loan Type,Payment History,Loan Default
2079,46555,92567,606,Employed,Divorced,35,0,1,Credit Card,Good,No
2080,64560,67574,506,Employed,Single,285,3,1,Personal Loan,Average,No
2081,8765,143978,828,Retired,Single,38,4,2,Personal Loan,Average,No
2082,7745,145204,832,Self-employed,Widowed,65,0,2,Mortgage,Poor,No
2083,32364,111051,686,Unemployed,Married,66,3,2,Mortgage,Good,No
2084,25128,122020,734,Employed,Married,244,3,2,Student Loan,Good,No
2085,72904,56182,457,Unemployed,Married,288,1,0,Mortgage,Average,Yes
2086,14078,136136,795,Self-employed,Married,131,2,1,Credit Card,Poor,No
2087,99733,20570,302,Unemployed,Single,236,4,1,Credit Card,Good,Yes
2088,28279,117790,715,Self-employed,Single,69,3,1,Student Loan,Poor,No
2089,86121,39288,379,Unemployed,Widowed,266,4,2,Auto Loan,Poor,Yes
2090,41451,98824,632,Employed,Married,187,3,1,Auto Loan,Poor,No
2091,77982,49877,428,Unemployed,Single,65,1,0,Credit Card,Poor,Yes
2092,37298,104425,658,Employed,Single,157,2,1,Auto Loan,Good,No
2093,99439,20917,305,Unemployed,Single,270,0,1,Auto Loan,Good,Yes
2094,43712,95602,619,Employed,Single,163,0,0,Student Loan,Poor,No
2095,29951,115040,702,Unemployed,Married,273,1,0,Mortgage,Average,No
2096,52362,84575,572,Employed,Married,30,3,1,Mortgage,Average,No
2097,46605,92518,606,Employed,Single,353,1,2,Auto Loan,Average,No
2098,10110,142115,821,Employed,Divorced,182,2,2,Personal Loan,Average,No
2099,71105,59104,466,Unemployed,Widowed,208,0,1,Student Loan,Good,Yes
2100,86929,38062,375,Unemployed,Married,84,4,1,Auto Loan,Average,Yes
2101,87637,36999,371,Unemployed,Married,314,0,1,Personal Loan,Average,Yes
2102,54153,81845,564,Employed,Divorced,96,2,1,Personal Loan,Good,No
2103,92969,29941,341,Unemployed,Married,295,3,2,Student Loan,Average,Yes
2104,54811,81169,560,Employed,Divorced,313,1,1,Mortgage,Good,No
2105,82789,43470,398,Unemployed,Divorced,143,0,0,Credit Card,Poor,Yes
2106,5117,149744,849,Unemployed,Single,131,0,2,Personal Loan,Poor,No
2107,18283,130684,770,Unemployed,Married,227,4,2,Credit Card,Average,No
2108,55719,79821,555,Employed,Widowed,147,1,0,Credit Card,Good,No
2109,35403,106669,669,Self-employed,Divorced,127,4,1,Student Loan,Poor,No
2110,12564,138193,802,Unemployed,Widowed,72,4,1,Mortgage,Good,No
2111,66944,64435,491,Employed,Single,28,3,1,Student Loan,Good,No
2112,96922,24529,318,Unemployed,Married,45,0,1,Personal Loan,Good,No
2113,38496,103055,650,Employed,Single,31,1,1,Mortgage,Good,No
2114,91269,32192,351,Unemployed,Single,219,3,0,Auto Loan,Average,Yes
2115,44986,94102,612,Employed,Widowed,173,3,1,Mortgage,Good,No
2116,46321,92762,607,Employed,Widowed,310,3,0,Student Loan,Good,No
2117,24096,123466,741,Retired,Divorced,21,2,0,Student Loan,Good,No
2118,15293,134894,788,Retired,Married,105,2,0,Credit Card,Good,No
2119,35116,106795,670,Self-employed,Single,118,3,1,Auto Loan,Poor,No
2120,74724,54087,446,Unemployed,Divorced,116,2,1,Mortgage,Average,Yes
2121,50893,86677,579,Employed,Divorced,82,1,2,Auto Loan,Poor,No
2122,96785,24627,319,Unemployed,Single,95,0,2,Credit Card,Good,No
2123,58312,76541,539,Employed,Single,220,1,0,Auto Loan,Poor,No
2124,16555,132805,778,Unemployed,Divorced,270,0,2,Auto Loan,Poor,No
2125,49857,88226,587,Employed,Single,250,2,0,Mortgage,Poor,No
2126,22266,125627,752,Unemployed,Single,313,1,2,Auto Loan,Poor,No
2127,97772,23255,314,Unemployed,Widowed,243,4,1,Credit Card,Good,Yes
2128,57389,77433,544,Employed,Married,293,3,1,Personal Loan,Good,No
2129,96328,25213,322,Unemployed,Divorced,217,0,0,Personal Loan,Poor,Yes
2130,24982,122412,736,Self-employed,Single,275,0,0,Student Loan,Good,No
2131,85910,39404,379,Unemployed,Divorced,322,4,1,Personal Loan,Poor,Yes
2132,13767,136545,796,Retired,Married,358,4,1,Mortgage,Good,No
2133,81449,45380,406,Unemployed,Divorced,196,3,1,Student Loan,Average,Yes
2134,32355,111056,686,Employed,Divorced,125,2,2,Personal Loan,Poor,No
2135,86257,39173,378,Unemployed,Divorced,90,1,2,Personal Loan,Good,No
2136,5645,148833,846,Self-employed,Widowed,353,1,2,Student Loan,Poor,No
2137,60393,73027,528,Employed,Married,312,1,2,Mortgage,Average,No
2138,82299,43989,401,Unemployed,Married,61,2,0,Student Loan,Poor,Yes
2139,20317,128106,763,Self-employed,Divorced,331,3,0,Mortgage,Poor,No
2140,81957,44519,403,Unemployed,Divorced,NaN,1,2,Mortgage,Good,No
2141,7461,145803,835,Retired,Married,269,0,0,Credit Card,Good,No
2142,83532,42439,393,Unemployed,Single,73,0,2,Personal Loan,Average,Yes
2143,12314,138570,804,Unemployed,Widowed,153,0,2,Personal Loan,Average,No
2144,42713,96949,624,Employed,Married,341,4,1,Auto Loan,Poor,No
2145,89386,34995,363,Unemployed,Divorced,233,4,2,Student Loan,Poor,Yes
2146,82576,43559,399,Unemployed,Single,122,2,0,Credit Card,Poor,Yes
2147,6016,148028,844,Employed,Single,115,1,2,Personal Loan,Poor,No
2148,18224,130887,770,Unemployed,Single,26,4,1,Auto Loan,Average,No
2149,33732,109049,678,Unemployed,Widowed,281,0,0,Credit Card,Poor,No
2150,96428,25021,321,Unemployed,Widowed,170,4,1,Mortgage,Average,Yes
2151,28177,118000,716,Employed,Married,168,0,2,Personal Loan,Good,No
2152,84134,41119,389,Unemployed,Married,38,1,2,Student Loan,Average,Yes
2153,61178,71539,522,Employed,Married,96,2,2,Credit Card,Poor,No
2154,30122,114835,701,Unemployed,Married,20,3,2,Auto Loan,Poor,No
2155,70942,59350,467,Unemployed,Divorced,287,3,0,Student Loan,Poor,Yes
2156,65686,66223,500,Employed,Widowed,238,0,2,Mortgage,Good,No
2157,81323,45517,407,Unemployed,Single,197,4,1,Student Loan,Poor,Yes
2158,41509,98653,632,Employed,Divorced,90,4,0,Auto Loan,Average,No
2159,83612,42250,392,Unemployed,Married,227,0,0,Mortgage,Average,No
2160,37254,104486,658,Self-employed,Married,68,1,0,Auto Loan,Good,No
2161,38722,102895,649,Self-employed,Divorced,155,0,1,Personal Loan,Good,No
2162,33669,109132,678,Retired,Single,342,1,1,Auto Loan,Poor,No
2163,32350,111066,686,Unemployed,Widowed,78,2,1,Student Loan,Good,No
2164,50740,86798,580,Employed,Widowed,286,2,1,Personal Loan,Good,No
2165,60016,74199,531,Employed,Single,116,0,2,Personal Loan,Average,No
2166,8828,143823,827,Employed,Widowed,199,2,2,Credit Card,Poor,No
2167,55939,79546,554,Employed,Married,175,4,1,Student Loan,Good,No
2168,5956,148180,844,Employed,Married,278,1,1,Student Loan,Poor,No
2169,22159,125686,753,Retired,Married,62,3,2,Mortgage,Poor,No
2170,34287,108151,675,Unemployed,Married,137,3,2,Auto Loan,Poor,No
2171,97705,23327,314,Unemployed,Single,91,2,1,Auto Loan,Good,No
2172,11371,140318,811,Self-employed,Widowed,194,1,0,Student Loan,Good,No
2173,78233,49768,427,Unemployed,Widowed,321,4,0,Auto Loan,Good,Yes
2174,52517,84418,571,Employed,Divorced,28,3,1,Student Loan,Good,No
2175,30431,114386,699,Employed,Single,181,4,0,Personal Loan,Poor,No
2176,13472,136947,799,Retired,Widowed,291,4,2,Auto Loan,Poor,No
2177,68370,62788,482,Employed,Widowed,315,3,0,Auto Loan,Good,No
2178,14171,135945,795,Retired,Divorced,351,3,1,Student Loan,Average,No
2179,39051,102384,647,Employed,Married,225,2,0,Student Loan,Average,No
2180,65030,66830,503,Employed,Widowed,209,1,0,Mortgage,Average,No
2181,60645,72446,526,Employed,Married,18,0,0,Auto Loan,Average,No
2182,22778,125078,748,Retired,Divorced,22,1,2,Credit Card,Good,No
2183,89082,35160,364,Unemployed,Widowed,23,0,2,Student Loan,Average,Yes
2184,58173,76583,539,Employed,Married,121,3,2,Credit Card,Poor,No
2185,74836,53998,446,Unemployed,Single,144,4,1,Personal Loan,Good,Yes
2186,80225,47230,414,Unemployed,Married,139,1,0,Personal Loan,Good,No
2187,93708,29076,337,Unemployed,Married,159,4,2,Credit Card,Poor,Yes
2188,49078,89341,591,Employed,Married,65,1,2,Personal Loan,Good,No
2189,76966,51085,433,Unemployed,Married,322,1,0,Credit Card,Average,Yes
2190,59061,75571,535,Employed,Single,90,4,1,Mortgage,Poor,No
2191,89481,34715,362,Unemployed,Divorced,357,2,0,Mortgage,Average,Yes
2192,5869,148308,845,Employed,Married,108,3,1,Personal Loan,Poor,No
2193,95816,25750,324,Unemployed,Married,260,2,0,Credit Card,Average,Yes
2194,15805,133931,783,Self-employed,Widowed,138,2,2,Credit Card,Average,No
2195,41455,98768,632,Employed,Widowed,41,1,2,Credit Card,Good,No
2196,12345,138544,804,Retired,Single,35,3,2,Personal Loan,Poor,No
2197,73136,55903,455,Unemployed,Single,212,1,1,Credit Card,Average,Yes
2198,46606,92489,606,Employed,Single,142,0,0,Student Loan,Poor,No
2199,76180,52093,438,Unemployed,Widowed,133,1,1,Credit Card,Poor,Yes
2200,32386,111036,685,Self-employed,Married,338,4,2,Student Loan,Average,No
2201,34375,107954,674,Employed,Widowed,161,1,1,Mortgage,Average,No
2202,11801,139277,808,Employed,Divorced,25,0,1,Student Loan,Good,No
2203,74569,54314,447,Unemployed,Single,315,1,1,Mortgage,Average,Yes
2204,64129,68225,508,Employed,Single,40,0,0,Personal Loan,Poor,No
2205,34328,107985,675,Self-employed,Single,61,3,1,Mortgage,Average,No
2206,38613,103014,650,Retired,Divorced,251,1,1,Mortgage,Good,No
2207,73899,55179,451,Unemployed,Married,294,0,1,Credit Card,Poor,Yes
2208,13155,137305,801,Unemployed,Married,346,3,2,Auto Loan,Average,No
2209,16871,132417,777,Retired,Married,167,4,2,Mortgage,Poor,No
2210,81509,45338,406,Unemployed,Single,148,2,0,Student Loan,Average,Yes
2211,31660,112435,692,Retired,Married,338,0,2,Personal Loan,Good,No
2212,48791,89681,592,Employed,Widowed,347,4,0,Student Loan,Poor,No
2213,76158,52101,438,Unemployed,Single,165,3,2,Personal Loan,Poor,Yes
2214,98405,22775,311,Unemployed,Divorced,92,4,0,Student Loan,Poor,Yes
2215,17763,131497,773,Unemployed,Divorced,98,1,0,Mortgage,Average,No
2216,28481,117183,713,Retired,Married,275,2,0,Auto Loan,Poor,No
2217,66268,65619,496,Employed,Single,269,0,2,Mortgage,Poor,No
2218,66202,65838,497,Employed,Widowed,196,3,1,Credit Card,Good,No
2219,10626,141316,818,Retired,Widowed,191,2,2,Student Loan,Poor,No
2220,85885,39539,380,Unemployed,Single,197,3,1,Auto Loan,Poor,Yes
2221,25025,122274,735,Employed,Married,134,4,2,Student Loan,Good,No
2222,57736,77124,543,Employed,Divorced,107,3,1,Credit Card,Average,No
2223,52057,85149,573,Employed,Divorced,104,3,2,Credit Card,Average,No
2224,80731,46616,411,Unemployed,Widowed,14,4,0,Credit Card,Average,Yes
2225,40954,99655,635,Employed,Widowed,13,4,0,Mortgage,Average,No
2226,32606,110695,684,Retired,Widowed,316,2,0,Mortgage,Poor,No
2227,59615,74567,532,Employed,Divorced,159,0,1,Auto Loan,Average,No
2228,72298,57099,460,Unemployed,Widowed,296,4,1,Credit Card,Average,Yes
2229,43635,95831,619,Employed,Divorced,156,2,0,Mortgage,Poor,No
2230,26636,120246,726,Employed,Divorced,341,3,1,Personal Loan,Good,No
2231,54268,81799,563,Employed,Married,273,3,0,Personal Loan,Average,No
2232,10978,140714,815,Employed,Married,73,1,2,Mortgage,Poor,No
2233,32856,110221,682,Employed,Married,237,4,1,Auto Loan,Average,No
2234,15350,134879,788,Unemployed,Widowed,42,2,1,Student Loan,Poor,No
2235,81361,45479,406,Unemployed,Divorced,201,2,2,Credit Card,Poor,Yes
2236,65710,66172,500,Employed,Widowed,279,0,1,Mortgage,Good,No
2237,27335,119165,720,Employed,Divorced,23,2,1,Auto Loan,Average,No
2238,58707,75863,536,Employed,Married,202,4,1,Student Loan,Poor,No
2239,68870,62043,479,Employed,Married,36,2,2,Auto Loan,Average,No
2240,38872,102569,648,Employed,Widowed,102,1,0,Student Loan,Poor,No
2241,24956,122438,736,Employed,Divorced,99,3,0,Personal Loan,Poor,No
2242,18760,130107,768,Employed,Widowed,343,3,2,Student Loan,Good,No
2243,88961,35408,365,Unemployed,Single,285,2,2,Personal Loan,Good,No
2244,10103,142275,821,Retired,Widowed,312,2,2,Credit Card,Good,No
2245,56971,77980,547,Employed,Married,122,2,0,Mortgage,Poor,No
2246,38662,102956,650,Employed,Divorced,91,2,2,Personal Loan,Poor,No
2247,88104,36351,368,Unemployed,Divorced,335,1,0,Auto Loan,Good,No
2248,97122,24131,317,Unemployed,Widowed,151,4,2,Student Loan,Poor,Yes
2249,13680,136836,797,Retired,Married,225,1,1,Auto Loan,Poor,No
2250,66709,64825,493,Employed,Single,29,1,0,Personal Loan,Average,No
2251,91988,31349,346,Unemployed,Widowed,65,1,0,Auto Loan,Poor,Yes
2252,54922,80931,559,Employed,Divorced,108,3,2,Student Loan,Average,No
2253,67211,64254,490,Employed,Married,294,1,1,Mortgage,Average,No
2254,71672,58225,464,Unemployed,Divorced,245,2,0,Auto Loan,Average,Yes
2255,23375,124383,744,Employed,Divorced,251,1,2,Credit Card,Average,No
2256,91120,32453,352,Unemployed,Divorced,345,2,1,Student Loan,Average,Yes
2257,86537,38814,377,Unemployed,Divorced,355,4,0,Student Loan,Average,No
2258,86882,38263,376,Unemployed,Single,65,3,2,Credit Card,Average,Yes
2259,42226,97694,628,Employed,Married,98,4,1,Personal Loan,Poor,No
2260,88559,35735,367,Unemployed,Widowed,272,4,0,Credit Card,Poor,Yes
2261,88441,35830,367,Unemployed,Married,247,3,0,Personal Loan,Average,Yes
2262,64207,67893,507,Employed,Married,134,2,1,Mortgage,Poor,No
2263,66877,64673,492,Employed,Married,65,2,2,Personal Loan,Good,No
2264,6802,147006,840,Employed,Widowed,227,2,2,Mortgage,Average,No
2265,33308,109462,680,Retired,Married,208,3,1,Mortgage,Average,No
2266,66610,65066,494,Employed,Widowed,50,1,0,Credit Card,Good,No
2267,26566,120315,726,Employed,Widowed,239,0,1,Mortgage,Poor,No
2268,97617,23373,314,Unemployed,Single,248,1,1,Personal Loan,Good,No
2269,92796,30335,343,Unemployed,Divorced,143,1,1,Auto Loan,Average,Yes
2270,82454,43741,400,Unemployed,Widowed,341,4,0,Student Loan,Good,Yes
2271,92487,30692,344,Unemployed,Divorced,332,0,1,Student Loan,Good,No
2272,64720,67295,504,Employed,Married,179,2,1,Personal Loan,Good,No
2273,66272,65541,496,Employed,Divorced,48,1,0,Auto Loan,Poor,No
2274,74768,54057,446,Unemployed,Divorced,78,3,0,Mortgage,Average,Yes
2275,50587,86983,581,Employed,Divorced,122,1,1,Personal Loan,Good,No
2276,85811,39583,380,Unemployed,Married,230,2,2,Mortgage,Good,Yes
2277,83257,42765,394,Unemployed,Married,220,1,1,Credit Card,Good,No
2278,55979,79287,554,Employed,Widowed,98,4,0,Auto Loan,Average,No
2279,82362,43906,401,Unemployed,Widowed,314,4,0,Student Loan,Average,Yes
2280,10939,140747,815,Employed,Single,190,1,0,Personal Loan,Good,No
2281,36890,105103,660,Retired,Married,24,4,2,Student Loan,Average,No
2282,40946,99675,635,Employed,Single,311,3,0,Mortgage,Poor,No
2283,65461,66525,501,Employed,Married,136,0,2,Mortgage,Good,No
2284,71668,58230,464,Unemployed,Divorced,244,1,0,Credit Card,Good,Yes
2285,12813,137904,802,Unemployed,Single,262,3,0,Mortgage,Good,No
2286,85896,39520,380,Unemployed,Single,137,3,1,Mortgage,Average,Yes
2287,36822,105238,661,Employed,Single,246,3,2,Student Loan,Average,No
2288,60860,71934,524,Employed,Married,149,2,1,Student Loan,Poor,No
2289,81260,45566,407,Unemployed,Widowed,60,1,2,Personal Loan,Average,Yes
2290,46094,93193,608,Employed,Single,197,1,0,Personal Loan,Average,No
2291,24259,123224,740,Self-employed,Widowed,216,1,0,Mortgage,Good,No
2292,77694,50134,430,Unemployed,Married,89,0,2,Auto Loan,Average,Yes
2293,92728,30345,343,Unemployed,Single,205,3,1,Personal Loan,Poor,Yes
2294,10776,141012,817,Unemployed,Married,114,1,2,Mortgage,Good,No
2295,10774,141015,817,Unemployed,Widowed,116,4,2,Student Loan,Average,No
2296,69324,61185,476,Employed,Widowed,298,2,2,Credit Card,Average,No
2297,14540,135464,792,Employed,Single,335,0,0,Student Loan,Good,No
2298,31423,112949,693,Retired,Widowed,222,2,2,Student Loan,Poor,No
2299,47946,90744,598,Employed,Divorced,261,3,0,Credit Card,Average,No
2300,75269,53455,444,Unemployed,Divorced,304,4,1,Student Loan,Average,Yes
2301,14860,135217,791,Unemployed,Single,212,3,0,Personal Loan,Average,No
2302,79619,48018,417,Unemployed,Married,35,1,1,Student Loan,Average,Yes
2303,59912,74219,531,Employed,Married,311,2,1,Credit Card,Poor,No
2304,66001,65991,499,Employed,Married,94,4,1,Mortgage,Good,No
2305,45718,93616,610,Employed,Divorced,308,2,0,Mortgage,Average,No
2306,34855,107438,672,Employed,Widowed,190,0,2,Mortgage,Average,No
2307,13666,136841,797,Retired,Divorced,309,4,0,Credit Card,Poor,No
2308,93236,29486,340,Unemployed,Widowed,217,0,1,Credit Card,Good,No
2309,71235,58862,466,Unemployed,Divorced,51,4,2,Personal Loan,Good,Yes
2310,10482,141662,819,Self-employed,Married,315,1,0,Credit Card,Good,No
2311,56226,78870,552,Employed,Married,124,2,1,Mortgage,Average,No
2312,35373,106694,669,Employed,Married,351,2,1,Credit Card,Poor,No
2313,22014,125996,754,Unemployed,Single,15,3,2,Auto Loan,Poor,No
2314,67516,63856,487,Employed,Single,119,4,0,Student Loan,Average,No
2315,25358,121407,732,Unemployed,Widowed,327,4,2,Personal Loan,Poor,No
2316,25963,120744,729,Unemployed,Single,125,0,2,Mortgage,Poor,No
2317,36055,106055,665,Unemployed,Divorced,178,4,2,Mortgage,Average,No
2318,76831,51379,435,Unemployed,Divorced,272,2,2,Auto Loan,Average,Yes
2319,52304,84729,572,Employed,Widowed,117,4,0,Personal Loan,Good,No
2320,79182,48378,420,Unemployed,Widowed,235,3,2,Student Loan,Good,No
2321,22543,125428,750,Employed,Married,273,3,1,Personal Loan,Poor,No
2322,59869,74353,531,Employed,Single,262,2,1,Personal Loan,Average,No
2323,62418,69996,516,Employed,Married,25,2,1,Mortgage,Good,No
2324,90029,34031,358,Unemployed,Single,209,2,2,Credit Card,Average,Yes
2325,40525,100072,638,Employed,Single,137,4,1,Student Loan,Average,No
2326,51332,85982,577,Employed,Widowed,217,4,0,Personal Loan,Average,No
2327,72584,56683,458,Unemployed,Married,151,1,2,Auto Loan,Good,Yes
2328,15728,134091,785,Retired,Married,73,0,2,Mortgage,Good,No
2329,12896,137797,802,Self-employed,Single,294,4,2,Credit Card,Poor,No
2330,87152,37618,374,Unemployed,Single,65,1,0,Credit Card,Good,Yes
2331,95265,26587,327,Unemployed,Widowed,357,1,2,Mortgage,Average,Yes
2332,53555,82790,567,Employed,Divorced,23,3,2,Personal Loan,Good,No
2333,76678,51480,435,Unemployed,Married,147,4,1,Mortgage,Average,Yes
2334,27700,118530,718,Unemployed,Married,341,1,1,Credit Card,Average,No
2335,84905,40527,385,Unemployed,Widowed,155,3,2,Credit Card,Poor,Yes
2336,82575,43569,399,Unemployed,Widowed,293,0,0,Auto Loan,Good,Yes
2337,92142,31151,346,Unemployed,Married,147,3,1,Auto Loan,Average,Yes
2338,47828,91094,599,Employed,Married,312,0,2,Credit Card,Average,No
2339,56098,79174,553,Employed,Single,232,2,1,Auto Loan,Average,No
2340,66813,64739,492,Employed,Divorced,351,2,1,Auto Loan,Poor,No
2341,75533,52954,441,Unemployed,Married,220,3,0,Auto Loan,Good,Yes
2342,16394,132984,779,Unemployed,Widowed,134,2,2,Credit Card,Good,No
2343,16485,132863,779,Retired,Single,127,4,1,Personal Loan,Good,No
2344,19382,129373,765,Employed,Single,168,3,2,Personal Loan,Poor,No
2345,73836,55303,452,Unemployed,Widowed,281,1,0,Student Loan,Average,Yes
2346,74212,54700,448,Unemployed,Widowed,28,4,0,Auto Loan,Average,Yes
2347,31400,113036,694,Employed,Single,280,3,1,Personal Loan,Average,No
2348,9018,143728,826,Self-employed,Widowed,230,0,0,Student Loan,Poor,No
2349,50253,87568,583,Employed,Single,330,2,1,Mortgage,Good,No
2350,50758,86788,580,Employed,Widowed,249,2,2,Auto Loan,Good,No
2351,47880,91045,598,Employed,Single,44,2,1,Personal Loan,Good,No
2352,71918,57842,463,Unemployed,Married,296,3,1,Personal Loan,Good,Yes
2353,90112,33900,358,Unemployed,Married,48,4,0,Personal Loan,Average,Yes
2354,6062,147992,844,Self-employed,Widowed,114,0,2,Student Loan,Average,No
2355,40531,100059,638,Employed,Divorced,222,2,2,Mortgage,Poor,No
2356,98718,21881,309,Unemployed,Married,291,4,1,Auto Loan,Poor,Yes
2357,75476,53037,442,Unemployed,Single,153,1,2,Personal Loan,Average,Yes
2358,98808,21630,308,Unemployed,Divorced,250,1,2,Credit Card,Good,No
2359,84605,40789,386,Unemployed,Single,240,0,1,Auto Loan,Average,Yes
2360,7356,146083,837,Retired,Single,144,2,1,Credit Card,Good,No
